1       16.0
2       7.0
3       13.0
4       7.0
5       13.0
6       14.0
7       13.0
8       7.0
9       14.0
10      9.0
11      13.0
12      13.0
13      15.0
14      8.0
15      14.0
16      8.0
17      10.0
18      12.0
19      9.0
20      8.0
21      13.0
22      8.0
23      14.0
24      9.0
25      12.0
26      10.0
27      12.0
28      10.0
29      14.0
30      13.0
31      12.0
32      10.0
33      12.0
34      8.0
35      16.0
36      15.0
37      13.0
38      4.0
39      11.0
40      10.0
41      10.0
42      15.0
43      10.0
44      11.0
45      12.0
46      14.0
47      15.0
48      13.0
49      9.0
50      14.0
51      7.0
52      14.0
53      13.0
54      16.0
55      8.0
56      9.0
57      8.0
58      12.0
59      15.0
60      14.0
61      7.0
62      14.0
63      7.0
64      13.0
65      15.0
66      14.0
67      9.0
68      14.0
69      9.0
70      14.0
71      12.0
72      15.0
73      7.0
74      13.0
75      5.0
76      11.0
77      12.0
78      16.0
79      7.0
80      13.0
81      6.0
82      14.0
83      15.0
84      14.0
85      7.0
86      15.0
87      7.0
88      15.0
89      14.0
90      13.0
91      6.0
92      15.0
93      7.0
94      14.0
95      15.0
96      20.0
97      7.0
98      14.0
99      8.0
100     11.0
101     10.0

